Finding,Frequency in MEDQUA-USMLE-Symp,Gold Low Term,Gold High Term,Low value Boundary,Low value Female Boundary,High value Boundary,High value Female Boundary,Unit,Sources
BMI,12,Underweight,Overweight,18.5,,24.9,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Parathyroid hormone level,10,Hypoparathyroidism,Hyperparathyroidism,10,,65,,pg/mL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hematocrit,9,Decreased hematocrit,Increased hematocrit,41,36,51,47,%,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Total serum protein,9,Hypoproteinemia,Hyperproteinemia,6,,7.8,,g/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Total bilirubin,9,Hypobilirubinemia,Hyperbilirubinemia,0.3,,1.2,,mg/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Aspartate amino-transferase (AST),9,Lower than normal range,Higher than normal range,0,,35,,U/L,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Muscle mass,3,Amyotrophy,-,0,,5,,,https://www.msdmanuals.com/professional/SearchResults?query=Muscle+strength
Leukocyte esterase,1,Negative,Positive,0,,0.001,,Units,
Urine Protein,1,-,Abnormal,–,,100,,mg/24 hours,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/urine-tests-normal-values
HIV,1,Negative,Positive,,,,,,https://www.msdmanuals.com/professional/infectious-diseases/human-immunodeficiency-virus-hiv/human-immunodeficiency-virus-hiv-infection?query=hiv%20antibody%20test%20results
Fecal occult blood,1,Negative,Positive,,,,,,https://www.msdmanuals.com/professional/gastrointestinal-disorders/tumors-of-the-gastrointestinal-tract/colorectal-cancer?query=Fecal%20occult%20blood
Head circumference percentile,1,Microcephaly,Macrocephaly,2,,98,,percentile,https://www.msdmanuals.com/professional/SearchResults?query=Head+circumference+percentile#
Vision,1,-,Reduced visual acuity,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=visual+acuity&page=1
Free T4,1,Hypothyroidism,Hyperthyroidism,0.9,,2.4,,ng/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Liver palpation,1,-,Hepatomegaly,7.5,4,13.5,10,cm,"https://www.ncbi.nlm.nih.gov/books/NBK421/#:~:text=By%20percussion%2C%20the%20mean%20liver,g%20in%20the%20adult%20man."
C-peptide level,1,increased,decreased,0.9,,4.3,,ng/mL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Abduction,1,Hypoabduction,-,,,,,,
Lymphocyte count,2,Lymphocytopenia,Hyperlymphocytosis,0.77,,4.5,,10^3 cells/mcL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hepatitis B core IgG antibody (anti-HBc),1,Negative,Positive,640,,1430,,mg/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Lower extremities strength,3,No contraction seen,Full range of motion,0,,5,,,
Anti dsDNA,1,Negative,Positive,–,,25,,IU,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
CRP,1,No inflammation,inflammation,–,,0.8,,mg/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hepatitis B envelope antigen (HBeAg),1,Negative,Positive,–,,–,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3371426/
Age,1,Adult age,Senior age,,,,,,
pH of discharge,8,Acidosis,Alkaline,4,,4.5,,,
Weight percentile,2,Underweight,Healthy weight,5,,85,,percentile,https://www.msdmanuals.com/professional/SearchResults?query=Weight+percentile&page=1#
Toxoplasma gondii IgG,2,Negative,Positive,4,,8,,IU/ml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2446631/
Urine RBC,1,Negative,Positive,0,,2,,RBCs/hpf,https://emedicine.medscape.com/article/2074001-overview
Immunoglobulin concentration,1,Hypogammaglobulinemia,Hypergammaglobulinemia,20,,140,,mg/dL,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Cryptococcal antigen,1,Negative,Positive,,,,,,
Pulse oximetry,1,Hypoxemia,Hyperoxia,85,,–,,%,https://www.msdmanuals.com/professional/SearchResults?query=Oxygen+saturation&page=1
