Finding,Frequency in MEDQUA-USMLE-Symp,Gold Low Term,Gold High Term,Low value Boundary,Low value Female Boundary,High value Boundary,High value Female Boundary,Unit,Low HPO Code,High HPO Code,Low Snomed Code,High Snomed Code,Low ICD 11 Code,High ICD 11 Code,Sources
Lymphocyte count,2,Lymphocytopenia,Hyperlymphocytosis,0.77,,4.5,,10^3 cells/mcL,HP:0001888,HP:0100827,48813009,67023009,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hepatitis B core IgG antibody (anti-HBc),1,Negative,Positive,640,,1430,,mg/dL,,,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Lower extremities strength,3,No contraction seen,Full range of motion,0,,5,,,,,,,,,
Anti dsDNA,1,Negative,Positive,–,,25,,IU,,HP:0020151,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
CRP,1,No inflammation,inflammation,–,,0.8,,mg/dL,,HP:0011227,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hepatitis B envelope antigen (HBeAg),1,Negative,Positive,–,,–,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3371426/
Age,1,Adult age,Senior age,,,,,,,,,,,,
pH of discharge,8,Acidosis,Alkaline,4,,4.5,,,,,,,,,
Weight percentile,2,Underweight,Healthy weight,5,,85,,percentile,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Weight+percentile&page=1#
Toxoplasma gondii IgG,2,Negative,Positive,4,,8,,IU/ml,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2446631/
Urine RBC,1,Negative,Positive,0,,2,,RBCs/hpf,,,,,,,https://emedicine.medscape.com/article/2074001-overview
Immunoglobulin concentration,1,Hypogammaglobulinemia,Hypergammaglobulinemia,20,,140,,mg/dL,HP:0004313,HP:0010702,119250001,127388009,4A01.01,4B21,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Cryptococcal antigen,1,Negative,Positive,,,,,,,,,,,,
Pulse oximetry,1,Hypoxemia,Hyperoxia,85,,–,,%,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Oxygen+saturation&page=1
