Finding,LOINC Code,Frequency in MEDQUA-USMLE-Symp,Gold Low Term,Gold High Term,Low value Boundary,Low value Female Boundary,High value Boundary,High value Female Boundary,Unit,Low HPO Code,High HPO Code,Low Snomed Code,High Snomed Code,Low ICD 11 Code,High ICD 11 Code,Sources
Heart rate,8886-4,25,Bradycardia,Tachycardia,60,,100,,bmp,HP:0001662,HP:0001649,48867003,3424008,MC81.1,MC81.0,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Urea level,20977-5,20,Hypoureaemia,Hyperazotemia,0,,2,,ng/mL,,,,,,,
Prothrombin time,5894-1,8,Decreased prothrombin time,Prolonged prothrombin time,11,,13,,seconds,HP:0032198,HP:0008151,165569003,409674002,,,
Gravidity (number of pregnancies),12157-4,16,Nulliparous,Multiparous,0,,1,,,,,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Glucose (Glu),97510-2,16,Hypoglycemia,Hyperglycemia,70,,140,,mg/dL,HP:0001943,HP:0003074,302866003,80394007,5A41,MA18.0,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Creatinine (Cr),39802-4,15,Hypocreatinemia,Hypercreatininemia,0.7,0.5,1.2,1,mg/dL,HP:0012101,HP:0003259,166715006,166717003,,,https://ltd.aruplab.com/Tests/Pub/0099592
Anti Jo-1,11565-9,14,Negative,Indeterminate/Borderline,29,,30-40,,AU/mL,,,,,,,
Height percentile,8303-0,14,Extremely short stature,Very tall,5,,95,,percentile,HP:0004322,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Hearing+in+the+left+ear&page=1
Hearing in the left ear,91373-1,13,-,Hearing loss,-10,,–,,dB,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=BMI
BMI,97057-4,12,Underweight,Overweight,18.5,,24.9,,,HP:0045082,HP:0031418,459211000124108,162863004,XS11,XS7R,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Parathyroid hormone level,2731-8,10,Hypoparathyroidism,Hyperparathyroidism,10,,65,,pg/mL,HP:0000829,HP:0000843,36976004,66999008,5A50,5A51,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hematocrit,101655-9,9,Decreased hematocrit,Increased hematocrit,41,36,51,47,%,HP:0031851,HP:0001899,165414004,165413005,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Total serum protein,34907-6,9,Hypoproteinemia,Hyperproteinemia,6,,7.8,,g/dL,HP:0003075,HP:0002152,8900005,37064009,5C56.2Y,5D0Y,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Total bilirubin,34543-9,9,Hypobilirubinemia,Hyperbilirubinemia,0.3,,1.2,,mg/dL,HP:0033480,HP:0002904,124078008,14783006,,3A21.Y,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Aspartate amino-transferase (AST),2325-9,9,Lower than normal range,Higher than normal range,0,,35,,U/L,,,,166669000,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Muscle mass,73964-9,3,Amyotrophy,-,0,,5,,,HP:0003202,,88092000,,8C7Y,,https://www.msdmanuals.com/professional/SearchResults?query=Muscle+strength
Leukocyte esterase,27297-1,1,Negative,Positive,0,,0.001,,Units,,,,,,,
Urine Protein,101909-0,1,-,Abnormal,–,,100,,mg/24 hours,,,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/urine-tests-normal-values
HIV,48548-2,1,Negative,Positive,,,,,,,,,,,,https://www.msdmanuals.com/professional/infectious-diseases/human-immunodeficiency-virus-hiv/human-immunodeficiency-virus-hiv-infection?query=hiv%20antibody%20test%20results
Fecal occult blood,50196-5,1,Negative,Positive,,,,,,,,167667006,,,ME24.A6,https://www.msdmanuals.com/professional/gastrointestinal-disorders/tumors-of-the-gastrointestinal-tract/colorectal-cancer?query=Fecal%20occult%20blood
Head circumference percentile,8289-1,1,Microcephaly,Macrocephaly,2,,98,,percentile,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Head+circumference+percentile#
Vision,98369-2,1,-,Reduced visual acuity,,,,,,,HP:0007663,,13164000,,,https://www.msdmanuals.com/professional/SearchResults?query=visual+acuity&page=1
Free T4,24348-5,1,Hypothyroidism,Hyperthyroidism,0.9,,2.4,,ng/dL,HP:0000821,HP:0000836,40930008,34486009,5A00,5A02.Z,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Liver palpation,-,1,-,Hepatomegaly,7.5,4,13.5,10,cm,,HP:0002240,,80515008,,ME10.0,"https://www.ncbi.nlm.nih.gov/books/NBK421/#:~:text=By%20percussion%2C%20the%20mean%20liver,g%20in%20the%20adult%20man."
C-peptide level,1987-7,1,increased,decreased,0.9,,4.3,,ng/mL,HP:0030796,HP:0030795,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Abduction,41365-8,1,Hypoabduction,-,,,,,,,,,,,,
Lymphocyte count,49921-0,2,Lymphocytopenia,Hyperlymphocytosis,0.77,,4.5,,10^3 cells/mcL,HP:0001888,HP:0100827,48813009,67023009,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hepatitis B core IgG antibody (anti-HBc),22318-0,1,Negative,Positive,640,,1430,,mg/dL,,,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Lower extremities strength,-,3,No contraction seen,Full range of motion,0,,5,,,,,,,,,
Anti dsDNA,5130-0,1,Negative,Positive,–,,25,,IU,,HP:0020151,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
CRP,71426-1,1,No inflammation,inflammation,–,,0.8,,mg/dL,,HP:0011227,,,,,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Hepatitis B envelope antigen (HBeAg),31845-1,1,Negative,Positive,–,,–,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3371426/
Age,63900-5,1,Adult age,Senior age,,,,,,,,,,,,
pH of discharge,-,8,Acidosis,Alkaline,4,,4.5,,,,,,,,,
Weight percentile,8336-0,2,Underweight,Healthy weight,5,,85,,percentile,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Weight+percentile&page=1#
Toxoplasma gondii IgG,93858-9,2,Negative,Positive,4,,8,,IU/ml,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2446631/
Urine RBC,88970-9,1,Negative,Positive,0,,2,,RBCs/hpf,,,,,,,https://emedicine.medscape.com/article/2074001-overview
Immunoglobulin concentration,34550-4,1,Hypogammaglobulinemia,Hypergammaglobulinemia,20,,140,,mg/dL,HP:0004313,HP:0010702,119250001,127388009,4A01.01,4B21,https://www.msdmanuals.com/professional/resources/normal-laboratory-values/blood-tests-normal-values
Cryptococcal antigen,31791-7,1,Negative,Positive,,,,,,,,,,,,
Pulse oximetry,20081-6,1,Hypoxemia,Hyperoxia,85,,–,,%,,,,,,,https://www.msdmanuals.com/professional/SearchResults?query=Oxygen+saturation&page=1
